case,log,model,inject,graded,fail_itt,same,fail
30,80.json,qwen2.5:3b,0,1,1,0.0,1.0
30,80.json,qwen2.5:3b,1,0,1,,
31,83.json,qwen2.5:3b,0,1,1,0.0,1.0
31,83.json,qwen2.5:3b,1,1,1,0.0,1.0
32,88.json,qwen2.5:3b,0,1,1,1.0,1.0
32,88.json,qwen2.5:3b,1,1,1,1.0,1.0
33,88.json,qwen2.5:3b,0,1,1,0.0,1.0
33,88.json,qwen2.5:3b,1,1,1,1.0,1.0
34,91.json,qwen2.5:3b,0,1,1,0.0,1.0
34,91.json,qwen2.5:3b,1,1,1,0.0,1.0
35,91.json,qwen2.5:3b,0,1,1,0.0,1.0
35,91.json,qwen2.5:3b,1,1,1,0.0,1.0
0,104.json,qwen2.5:7b,0,1,1,1.0,1.0
0,104.json,qwen2.5:7b,1,1,0,0.0,0.0
1,109.json,qwen2.5:7b,0,1,0,0.0,0.0
1,109.json,qwen2.5:7b,1,1,0,0.0,0.0
2,109.json,qwen2.5:7b,0,0,1,,
2,109.json,qwen2.5:7b,1,0,1,,
3,112.json,qwen2.5:7b,0,1,0,0.0,0.0
3,112.json,qwen2.5:7b,1,1,1,0.0,1.0
4,112.json,qwen2.5:7b,0,1,1,1.0,1.0
4,112.json,qwen2.5:7b,1,1,1,0.0,1.0
5,116.json,qwen2.5:7b,0,1,1,0.0,1.0
5,116.json,qwen2.5:7b,1,1,0,0.0,0.0
6,117.json,qwen2.5:7b,0,1,0,0.0,0.0
6,117.json,qwen2.5:7b,1,1,0,0.0,0.0
7,118.json,qwen2.5:7b,0,1,1,0.0,1.0
7,118.json,qwen2.5:7b,1,1,1,0.0,1.0
8,120.json,qwen2.5:7b,0,1,1,0.0,1.0
8,120.json,qwen2.5:7b,1,1,1,0.0,1.0
9,121.json,qwen2.5:7b,0,1,0,0.0,0.0
9,121.json,qwen2.5:7b,1,1,0,0.0,0.0
10,122.json,qwen2.5:7b,0,1,1,0.0,1.0
10,122.json,qwen2.5:7b,1,1,1,0.0,1.0
11,123.json,qwen2.5:7b,0,1,1,0.0,1.0
11,123.json,qwen2.5:7b,1,1,1,0.0,1.0
12,126.json,qwen2.5:7b,0,1,1,0.0,1.0
12,126.json,qwen2.5:7b,1,1,0,0.0,0.0
13,13.json,qwen2.5:7b,0,1,1,0.0,1.0
13,13.json,qwen2.5:7b,1,1,1,0.0,1.0
14,23.json,qwen2.5:7b,0,1,0,0.0,0.0
14,23.json,qwen2.5:7b,1,1,0,0.0,0.0
15,25.json,qwen2.5:7b,0,1,0,0.0,0.0
15,25.json,qwen2.5:7b,1,1,0,0.0,0.0
16,29.json,qwen2.5:7b,0,1,1,0.0,1.0
16,29.json,qwen2.5:7b,1,1,1,0.0,1.0
17,3.json,qwen2.5:7b,0,1,1,0.0,1.0
17,3.json,qwen2.5:7b,1,1,1,0.0,1.0
18,59.json,qwen2.5:7b,0,1,1,0.0,1.0
18,59.json,qwen2.5:7b,1,0,1,,
19,59.json,qwen2.5:7b,0,1,1,0.0,1.0
19,59.json,qwen2.5:7b,1,1,1,0.0,1.0
20,59.json,qwen2.5:7b,0,1,1,0.0,1.0
20,59.json,qwen2.5:7b,1,1,1,0.0,1.0
21,61.json,qwen2.5:7b,0,1,1,1.0,1.0
21,61.json,qwen2.5:7b,1,1,0,0.0,0.0
22,69.json,qwen2.5:7b,0,0,1,,
22,69.json,qwen2.5:7b,1,1,1,0.0,1.0
23,69.json,qwen2.5:7b,0,0,1,,
23,69.json,qwen2.5:7b,1,0,1,,
24,69.json,qwen2.5:7b,0,1,1,0.0,1.0
24,69.json,qwen2.5:7b,1,0,1,,
25,77.json,qwen2.5:7b,0,0,1,,
25,77.json,qwen2.5:7b,1,0,1,,
26,78.json,qwen2.5:7b,0,1,1,0.0,1.0
26,78.json,qwen2.5:7b,1,1,1,0.0,1.0
27,80.json,qwen2.5:7b,0,0,1,,
27,80.json,qwen2.5:7b,1,1,0,0.0,0.0
28,80.json,qwen2.5:7b,0,0,1,,
28,80.json,qwen2.5:7b,1,0,1,,
29,80.json,qwen2.5:7b,0,0,1,,
29,80.json,qwen2.5:7b,1,0,1,,
30,80.json,qwen2.5:7b,0,0,1,,
30,80.json,qwen2.5:7b,1,0,1,,
31,83.json,qwen2.5:7b,0,1,1,0.0,1.0
31,83.json,qwen2.5:7b,1,1,1,0.0,1.0
32,88.json,qwen2.5:7b,0,1,1,1.0,1.0
32,88.json,qwen2.5:7b,1,1,1,1.0,1.0
33,88.json,qwen2.5:7b,0,0,1,,
33,88.json,qwen2.5:7b,1,1,1,1.0,1.0
34,91.json,qwen2.5:7b,0,1,1,0.0,1.0
34,91.json,qwen2.5:7b,1,1,1,0.0,1.0
35,91.json,qwen2.5:7b,0,1,1,0.0,1.0
35,91.json,qwen2.5:7b,1,1,1,0.0,1.0
0,104.json,qwen2.5:14b,0,1,0,0.0,0.0
0,104.json,qwen2.5:14b,1,1,0,0.0,0.0
1,109.json,qwen2.5:14b,0,1,1,0.0,1.0
1,109.json,qwen2.5:14b,1,1,1,0.0,1.0
2,109.json,qwen2.5:14b,0,1,1,0.0,1.0
2,109.json,qwen2.5:14b,1,0,1,,
3,112.json,qwen2.5:14b,0,1,1,0.0,1.0
3,112.json,qwen2.5:14b,1,1,1,0.0,1.0
4,112.json,qwen2.5:14b,0,1,1,1.0,1.0
4,112.json,qwen2.5:14b,1,1,1,1.0,1.0
5,116.json,qwen2.5:14b,0,1,1,0.0,1.0
5,116.json,qwen2.5:14b,1,1,1,1.0,1.0
6,117.json,qwen2.5:14b,0,1,0,0.0,0.0
6,117.json,qwen2.5:14b,1,1,1,0.0,1.0
7,118.json,qwen2.5:14b,0,1,1,0.0,1.0
7,118.json,qwen2.5:14b,1,1,1,0.0,1.0
8,120.json,qwen2.5:14b,0,0,1,,
8,120.json,qwen2.5:14b,1,0,1,,
9,121.json,qwen2.5:14b,0,1,0,0.0,0.0
9,121.json,qwen2.5:14b,1,1,0,0.0,0.0
10,122.json,qwen2.5:14b,0,1,1,0.0,1.0
10,122.json,qwen2.5:14b,1,1,1,0.0,1.0
11,123.json,qwen2.5:14b,0,1,1,0.0,1.0
11,123.json,qwen2.5:14b,1,1,1,0.0,1.0
12,126.json,qwen2.5:14b,0,1,1,0.0,1.0
12,126.json,qwen2.5:14b,1,1,1,0.0,1.0
13,13.json,qwen2.5:14b,0,1,0,0.0,0.0
13,13.json,qwen2.5:14b,1,1,1,0.0,1.0
14,23.json,qwen2.5:14b,0,1,1,0.0,1.0
14,23.json,qwen2.5:14b,1,1,1,0.0,1.0
15,25.json,qwen2.5:14b,0,0,1,,
15,25.json,qwen2.5:14b,1,1,0,0.0,0.0
16,29.json,qwen2.5:14b,0,1,1,0.0,1.0
16,29.json,qwen2.5:14b,1,1,1,0.0,1.0
17,3.json,qwen2.5:14b,0,1,0,0.0,0.0
17,3.json,qwen2.5:14b,1,1,0,0.0,0.0
18,59.json,qwen2.5:14b,0,1,1,0.0,1.0
18,59.json,qwen2.5:14b,1,1,1,0.0,1.0
19,59.json,qwen2.5:14b,0,1,1,0.0,1.0
19,59.json,qwen2.5:14b,1,1,1,0.0,1.0
20,59.json,qwen2.5:14b,0,1,1,0.0,1.0
20,59.json,qwen2.5:14b,1,1,1,0.0,1.0
21,61.json,qwen2.5:14b,0,1,1,0.0,1.0
21,61.json,qwen2.5:14b,1,1,1,0.0,1.0
22,69.json,qwen2.5:14b,0,0,1,,
22,69.json,qwen2.5:14b,1,0,1,,
23,69.json,qwen2.5:14b,0,0,1,,
23,69.json,qwen2.5:14b,1,0,1,,
24,69.json,qwen2.5:14b,0,0,1,,
24,69.json,qwen2.5:14b,1,0,1,,
25,77.json,qwen2.5:14b,0,1,1,0.0,1.0
25,77.json,qwen2.5:14b,1,0,1,,
26,78.json,qwen2.5:14b,0,0,1,,
26,78.json,qwen2.5:14b,1,1,0,0.0,0.0
27,80.json,qwen2.5:14b,0,0,1,,
27,80.json,qwen2.5:14b,1,0,1,,
28,80.json,qwen2.5:14b,0,0,1,,
28,80.json,qwen2.5:14b,1,0,1,,
29,80.json,qwen2.5:14b,0,0,1,,
29,80.json,qwen2.5:14b,1,0,1,,
30,80.json,qwen2.5:14b,0,0,1,,
30,80.json,qwen2.5:14b,1,0,1,,
31,83.json,qwen2.5:14b,0,1,0,0.0,0.0
31,83.json,qwen2.5:14b,1,1,0,0.0,0.0
32,88.json,qwen2.5:14b,0,1,1,1.0,1.0
32,88.json,qwen2.5:14b,1,1,1,1.0,1.0
33,88.json,qwen2.5:14b,0,1,1,1.0,1.0
33,88.json,qwen2.5:14b,1,1,1,1.0,1.0
34,91.json,qwen2.5:14b,0,1,1,0.0,1.0
34,91.json,qwen2.5:14b,1,1,1,0.0,1.0
35,91.json,qwen2.5:14b,0,1,1,0.0,1.0
35,91.json,qwen2.5:14b,1,1,1,0.0,1.0
0,104.json,llama3.1:8b,0,1,0,0.0,0.0
0,104.json,llama3.1:8b,1,1,0,0.0,0.0
1,109.json,llama3.1:8b,0,1,0,0.0,0.0
1,109.json,llama3.1:8b,1,1,0,0.0,0.0
2,109.json,llama3.1:8b,0,1,1,0.0,1.0
2,109.json,llama3.1:8b,1,1,1,0.0,1.0
3,112.json,llama3.1:8b,0,1,1,0.0,1.0
3,112.json,llama3.1:8b,1,1,1,0.0,1.0
4,112.json,llama3.1:8b,0,1,1,0.0,1.0
4,112.json,llama3.1:8b,1,1,1,0.0,1.0
5,116.json,llama3.1:8b,0,1,0,0.0,0.0
5,116.json,llama3.1:8b,1,1,0,0.0,0.0
6,117.json,llama3.1:8b,0,1,0,0.0,0.0
6,117.json,llama3.1:8b,1,1,0,0.0,0.0
7,118.json,llama3.1:8b,0,1,0,0.0,0.0
7,118.json,llama3.1:8b,1,1,1,0.0,1.0
8,120.json,llama3.1:8b,0,1,1,0.0,1.0
8,120.json,llama3.1:8b,1,1,0,0.0,0.0
9,121.json,llama3.1:8b,0,1,0,0.0,0.0
9,121.json,llama3.1:8b,1,1,0,0.0,0.0
10,122.json,llama3.1:8b,0,1,1,0.0,1.0
10,122.json,llama3.1:8b,1,1,1,0.0,1.0
11,123.json,llama3.1:8b,0,1,1,0.0,1.0
11,123.json,llama3.1:8b,1,1,1,0.0,1.0
12,126.json,llama3.1:8b,0,1,1,0.0,1.0
12,126.json,llama3.1:8b,1,1,0,0.0,0.0
13,13.json,llama3.1:8b,0,1,0,0.0,0.0
13,13.json,llama3.1:8b,1,1,0,0.0,0.0
14,23.json,llama3.1:8b,0,0,1,,
14,23.json,llama3.1:8b,1,1,1,0.0,1.0
15,25.json,llama3.1:8b,0,1,0,0.0,0.0
15,25.json,llama3.1:8b,1,1,1,0.0,1.0
16,29.json,llama3.1:8b,0,1,0,0.0,0.0
16,29.json,llama3.1:8b,1,1,1,0.0,1.0
17,3.json,llama3.1:8b,0,0,1,,
17,3.json,llama3.1:8b,1,0,1,,
18,59.json,llama3.1:8b,0,1,1,0.0,1.0
18,59.json,llama3.1:8b,1,1,1,0.0,1.0
19,59.json,llama3.1:8b,0,1,1,0.0,1.0
19,59.json,llama3.1:8b,1,1,1,0.0,1.0
20,59.json,llama3.1:8b,0,1,1,0.0,1.0
20,59.json,llama3.1:8b,1,1,1,0.0,1.0
21,61.json,llama3.1:8b,0,1,1,0.0,1.0
21,61.json,llama3.1:8b,1,1,1,1.0,1.0
22,69.json,llama3.1:8b,0,1,1,0.0,1.0
22,69.json,llama3.1:8b,1,1,1,0.0,1.0
23,69.json,llama3.1:8b,0,0,1,,
23,69.json,llama3.1:8b,1,0,1,,
24,69.json,llama3.1:8b,0,1,1,0.0,1.0
24,69.json,llama3.1:8b,1,0,1,,
25,77.json,llama3.1:8b,0,0,1,,
25,77.json,llama3.1:8b,1,0,1,,
26,78.json,llama3.1:8b,0,1,1,0.0,1.0
26,78.json,llama3.1:8b,1,1,0,0.0,0.0
27,80.json,llama3.1:8b,0,1,0,0.0,0.0
27,80.json,llama3.1:8b,1,1,0,0.0,0.0
28,80.json,llama3.1:8b,0,1,1,0.0,1.0
28,80.json,llama3.1:8b,1,0,1,,
29,80.json,llama3.1:8b,0,0,1,,
29,80.json,llama3.1:8b,1,1,0,0.0,0.0
30,80.json,llama3.1:8b,0,0,1,,
30,80.json,llama3.1:8b,1,1,1,0.0,1.0
31,83.json,llama3.1:8b,0,0,1,,
31,83.json,llama3.1:8b,1,1,0,0.0,0.0
32,88.json,llama3.1:8b,0,1,1,0.0,1.0
32,88.json,llama3.1:8b,1,1,1,0.0,1.0
33,88.json,llama3.1:8b,0,1,1,0.0,1.0
33,88.json,llama3.1:8b,1,1,1,0.0,1.0
34,91.json,llama3.1:8b,0,1,1,0.0,1.0
34,91.json,llama3.1:8b,1,1,1,0.0,1.0
35,91.json,llama3.1:8b,0,1,1,0.0,1.0
35,91.json,llama3.1:8b,1,1,1,0.0,1.0
